code_dep,departement,nom,slug,commune_depart,justification,niveau_souhaite,difficulte,denivele_positif_m,distance_km,duree_estimee,point_depart_precis,parking_info,url_trace,gpx_url,lat_depart,lng_depart
69,Rhône,Pilat N°30: des «Côteaux à les Haies»,pilat-n30-des-coteaux-a-les-haies,Condrieu,,modere,T2,455,23,7h16,,,,,45.4915659,4.74939175
63,Puy-de-Dôme,Montarcher,montarcher,La Chaulme,,facile,T1,~280,14,4h26,,,,,45.4630584,3.97088655
63,Puy-de-Dôme,Les Prats-de-la-Chaux,les-prats-de-la-chaux,Saint-Anthème,,modere,T2,~455,13,4h46,,,,,45.5502362,3.93131195
63,Puy-de-Dôme,Peyre-Mayou,peyre-mayou,Saint-Pierre-la-Bourlhonne,,modere,T2,~525,15,5h30,,,,,45.67632555,3.76805385
43,Haute-Loire,Les Trois Vallees,les-trois-vallees,Torsiac,,modere,T2,~455,13,4h46,,,,,45.34847085,3.1908527500000003
63,Puy-de-Dôme,Saint Jean Saint Gervais,saint-jean-saint-gervais,Jumeaux,,modere,T2,~320,16,5h04,,,,,45.429819050000006,3.3614343499999997
63,Puy-de-Dôme,Les terrasses de la Dore,les-terrasses-de-la-dore,Mayres,,facile,T1,~220,11,3h29,,,,,45.37517865,3.7015745
43,Haute-Loire,Les bords de l'Allier,les-bords-de-lallier,Saint-Vénérand,,facile,T1,~220,11,3h29,,,,,44.85950095,3.67881355
63,Puy-de-Dôme,Les Cotes de Lempdes,les-cotes-de-lempdes,Moriat,,modere,T2,~315,9,3h18,,,,,45.39668435,3.2547993999999996
63,Puy-de-Dôme,Les panoramas de Dore l'Eglise,les-panoramas-de-dore-leglise,Dore-l'Église,,modere,T2,~595,17,6h14,,,,,45.3766311,3.7742127500000002
43,Haute-Loire,VA 06 : Blesle - Massiac,va-06--blesle---massiac,Grenier-Montgon,,modere,T2,~473,13.5,4h57,,,,,45.285473499999995,3.19557715
44,Loire-Atlantique,Circuit de la Baraudière,circuit-de-la-baraudiere,Sucé-sur-Erdre,,facile,T1,~266,7.6,2h47,,,,,47.34503925,-1.49744305
44,Loire-Atlantique,Sentier des manoirs,sentier-des-manoirs,Nozay,,modere,T2,~312,15.6,4h56,,,,,47.57776695,-1.60116515
44,Loire-Atlantique,Circuit du Moulin de Peltré,circuit-du-moulin-de-peltre,La Rouxière,,modere,T2,~301,8.6,3h09,,,,,47.444402499999995,-1.0598182
46,Lot,Circuit de la Cévenne de Bears,circuit-de-la-cevenne-de-bears,Arcambal,,modere,T2,497,16.2,5h42,,,,,44.46173895,1.5713385
46,Lot,Circuit de Martignac,circuit-de-martignac,Puy-l'Évêque,,modere,T2,324,13.7,4h30,,,,,44.519947,1.1220645
46,Lot,"Le Vert, la belle et les châteaux",le-vert-la-belle-et-les-chateaux,Mechmont,,facile,T1,244,13.6,4h13,,,,,44.5815669,1.4458151
46,Lot,Circuit du Cap de la Cévenne,circuit-du-cap-de-la-cevenne,Pradines,,modere,T2,307,12.4,4h07,,,,,44.471597200000005,1.38863095
46,Lot,Les dolmens de Limogne-en-Quercy,les-dolmens-de-limogne-en-quercy,Limogne-en-Quercy,,modere,T2,344,9.1,3h25,,,,,44.39674515,1.7563947500000001
46,Lot,Circuit des chemins anciens de Pern,circuit-des-chemins-anciens-de-pern,Pern-Lhospitalet,,facile,T1,186,14.1,4h09,,,,,44.339076250000005,1.3800759
46,Lot,Sentier des truffes,sentier-des-truffes,Lalbenque,,facile,T1,147,10.8,3h11,,,,,44.35121735,1.5255998000000002
46,Lot,Circuit du Lissourgues,circuit-du-lissourgues,Sauzet,,facile,T1,127,8.7,2h36,,,,,44.4243254,1.241634
46,Lot,Circuit de la fontaine de Paillas,circuit-de-la-fontaine-de-paillas,Montcuq-en-Quercy-Blanc,,facile,T1,115,7.1,2h09,,,,,44.3589729,1.10262005
